Index,AircraftLength,AircraftSpan,AircraftFuelCapacity,AircraftMLW,AircraftACN,AircraftARFF,ReferenceCruiseFL,ReferenceVclimb,ReferenceVcruise,ReferenceVdescent,ReferenceMLD,ReferenceMORA,ReferenceZpOpt,LiveAltitude,LiveFuelWeight,LiveMAR,LiveSR,LiveIAS,LiveVz,AircraftFlightPhase,AircraftGPSLatitude,AircraftGPSLongitude,Heading,AircraftFlapsPosition,AircraftSlatsPosition,AircraftSpoilersPosition,AircraftFuel,AircraftLandingGearAuxilary,AircraftLandingGearPrincipal,LiveCurrentWeight,CurrentWaypointName,CurrentWaypointEstimatedTimeOfArrival,CurrentWaypointPlannedAltitude,CurrentWaypointGPSLatitude,CurrentWaypointGPSLongitude,ReferenceDescentFL,AircraftAntiIcingState,AircraftIcingProbe
0,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1639.64,1500.8855580591098,37700.0,500.88555805910994,4805.5117891858,2.810674951494794,0.0002652996743067331,2.9856055442757836,0.0003880182352821016,Takeoff,43.64393438818,1.3461179640785,142.99737940140292,11.6,18.0,0,10594.339999999998,1.0,1.0,56963.49060171,SID_14R-3,79.1524771371047,3000,43.57900686,1.413421665,0,0,0
1,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1639.16,1500.53130165718,37718.12895304798,500.53130165717994,4757.167914391201,48.599646668578934,0.004633939627582909,52.14937761276932,6.477303624745734,Takeoff,43.64333438762299,1.3467466113753,142.5833946647621,11.6,18.0,0,10487.76,1.0,1.0,56915.1467269154,SID_14R-3,4.489471636090022,3000,43.57900686,1.413421665,0,0,0
2,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1638.35,1501.93432249801,37748.441964144615,501.93432249801,4676.3332181335,100.53221888925997,0.009751368283703942,183.48839672563017,643.1809724064997,Takeoff,43.634491019757995,1.3560130119595,140.3156521126108,11.6,18.0,0,10309.55,1.0,1.0,56834.312030657704,SID_14R-3,1.0994739118164647,3000,43.57900686,1.413421665,0,0,0
3,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1637.64,3071.8108915669,37774.927789619374,2071.8108915669,4605.704350200799,116.25094507281688,0.011448963650482664,182.55720984633626,3516.927792689985,Climb,43.622312408606994,1.3706659995989998,139.6991549600527,11.6,18.0,0,10153.839999999998,0.0,0.0,56763.683162725,SID_14R-3,0.8159356449688456,3000,43.57900686,1.413421665,0,0,0
4,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1637.07,3991.505969591,37796.30899996025,2991.505969591,4548.6877892918,170.36060283265306,0.016988255332758922,214.88039077611597,2576.864592459855,Climb,43.60771543745,1.3862164379397,142.44567453742383,0.0,0.0,0,10028.14,0.0,0.0,56706.666601816,SID_14R-3,0.44222641085833475,3000,43.57900686,1.413421665,0,0,0
5,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1636.58,4802.2275603971,37814.85639196955,3802.2275603971,4499.228077267,223.14885162649205,0.022496884961991717,243.12351328208055,2450.6506465146144,Climb,43.589584268092004,1.4045177561978999,143.560153528256,0.0,0.0,0,9919.1,0.0,0.0,56657.2068897912,SID_14R-3,0.1341544715366027,3000,43.57900686,1.413421665,0,0,0
6,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1636.2,5602.6566071245,37828.834974832025,4602.6566071245,4461.9518563004,302.3356754562307,0.03073479050924789,246.66163769537232,2457.439560150212,Climb,43.569241548304994,1.422405760325,148.3742389785934,0.0,0.0,0,9836.92,0.0,0.0,56619.9306688246,SID_14R-3,0.12533440631419365,3000,43.57900686,1.413421665,0,0,0
7,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1635.88,6334.4529771369,37841.1670173914,5334.4529771369,4429.0664094754,344.5679239545078,0.03528810968337165,246.54135005094008,1716.986675653356,Climb,43.549114958788,1.4418772937028999,140.75999963258033,0.0,0.0,0,9764.42,0.0,0.0,56587.0452219996,SID_14R-6,0.15380015129462812,6000,43.53904253,1.454756298,0,0,0
8,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1635.62,6733.311711224101,37850.59380082092,5733.311711224101,4403.928320329999,451.0417247982601,0.046456043341050586,246.32748874133384,916.9228083473363,Climb,43.531425739458,1.4659517781685,124.2157115836959,0.0,0.0,0,9708.999999999998,0.0,0.0,56561.907132854205,SID_14R-6,0.1270079080917115,6000,43.53904253,1.454756298,0,0,0
9,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1635.39,6947.576690690899,37859.2245296411,5947.576690690899,4380.9130434762,490.1716834082916,0.05075155187459145,245.43556732140476,476.00093703535293,Climb,43.522960826272,1.4981632971076,91.74576239824565,0.0,0.0,0,9658.26,0.0,0.0,56538.8918560004,SID_DEP-3,0.24912687141234902,-1,43.53207121,1.522822639,0,0,0
10,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1635.17,7068.4937394714,37867.7021710364,6068.4937394714,4358.3059997554,497.4309594392064,0.051770318058453564,245.39119033549403,234.99558592713083,Climb,43.528146392852,1.5320414684467,60.288929451128794,0.0,0.0,0,9608.42,0.0,0.0,56516.2848122796,SID_DEP-4,0.5319615175830978,-1,43.56216024,1.577735802,0,0,0
11,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1634.92,7137.0286055021,37876.99287675493,6137.0286055021,4333.530784506,450.683790989329,0.04717324949123166,244.74681985582814,102.25776048659621,Climb,43.545134759778,1.5582364940483,32.37874340515082,0.0,0.0,0,9553.8,0.0,0.0,56491.5095970302,SID_DEP-4,0.241088062036448,-1,43.56216024,1.577735802,0,0,0
12,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1634.66,7185.439922972801,37886.5761495521,6185.439922972801,4307.9753903802,435.33694845909065,0.04583719736214637,245.09254536495305,236.13178675566522,Climb,43.565764424613,1.5795857112724998,31.743506842267323,0.0,0.0,0,9497.46,0.0,0.0,56465.9542029044,SID_DEP-4,0.036917675560536566,-1,43.56216024,1.577735802,0,0,0
13,37.57,35.8,24210.0,66000.0,ACN.csv,6,240,2500,420.0,1500,1634.31,7825.175857051,37899.714452549146,6825.175857051,4272.9399157214,316.10149968561166,0.033555638794594146,243.21254771899362,2423.100364474852,Climb,43.588593985035,1.5954829629896998,5.696859277794499,0.0,0.0,0,9420.22,0.0,0.0,56430.918728245604,SID_DEP-5,0.22131746030506724,-1,43.61168151,1.587302378,0,0,0
